"_id","_labels","intersection_location","osmid","street_count","_start","_end","_type","lanes","oneway","road_highway","road_length","road_name","road_osmid"
,,,,,"3808","2311","ROAD_SEGMENT","NaN","false","footway","3.1317662449735453","NaN","499622618"
,,,,,"3808","2611","ROAD_SEGMENT","NaN","false","footway","2.9054342153705357","NaN","499622618"
,,,,,"3809","3810","ROAD_SEGMENT","NaN","false","service","1.859778597003356","NaN","283050085"
,,,,,"3809","3812","ROAD_SEGMENT","NaN","false","service","1.773425605757349","NaN","283050085"
,,,,,"3810","4141","ROAD_SEGMENT","NaN","false","service","11.506903930322473","NaN","283050085"
,,,,,"3810","3809","ROAD_SEGMENT","NaN","false","service","1.859778597003356","NaN","283050085"
,,,,,"3810","2343","ROAD_SEGMENT","NaN","false","footway","45.291025001473145","NaN","499636215"
,,,,,"3810","3691","ROAD_SEGMENT","NaN","false","footway","16.919735137929038","NaN","499636215"
,,,,,"3811","4141","ROAD_SEGMENT","NaN","false","service","1.303777585588722","NaN","283050085"
,,,,,"3812","3809","ROAD_SEGMENT","NaN","false","service","1.773425605757349","NaN","283050085"
,,,,,"3812","942","ROAD_SEGMENT","NaN","false","service","9.870272526196612","NaN","283050085"
,,,,,"3813","3814","ROAD_SEGMENT","NaN","false","service","12.087013448614298","NaN","1109643219"
,,,,,"3814","3494","ROAD_SEGMENT","NaN","false","service","16.020216082474622","NaN","979871155"
,,,,,"3814","3813","ROAD_SEGMENT","NaN","false","service","12.087013448614298","NaN","1109643219"
,,,,,"3814","2614","ROAD_SEGMENT","NaN","false","service","25.193855823845077","NaN","1109643219"
,,,,,"3815","2614","ROAD_SEGMENT","NaN","false","service","16.136610411869363","NaN","1109643219"
,,,,,"3816","2365","ROAD_SEGMENT","NaN","false","footway","3.223622816489328","NaN","467655543"
,,,,,"3816","3498","ROAD_SEGMENT","NaN","false","footway","2.5563077874049918","NaN","467655543"
,,,,,"3817","3818","ROAD_SEGMENT","NaN","false","footway","3.577966909440877","NaN","421511848"
,,,,,"3817","2499","ROAD_SEGMENT","NaN","false","footway","8.342804049215555","NaN","421511848"
,,,,,"3818","2367","ROAD_SEGMENT","NaN","false","footway","2.9617335901366064","NaN","421511848"
,,,,,"3818","3817","ROAD_SEGMENT","NaN","false","footway","3.577966909440877","NaN","421511848"
,,,,,"3819","2758","ROAD_SEGMENT","NaN","false","footway","6.642670864275397","NaN","421511843"
,,,,,"3819","2354","ROAD_SEGMENT","NaN","false","footway","4.088019722314128","NaN","421511843"
,,,,,"3820","2759","ROAD_SEGMENT","NaN","false","footway","3.87785259802235","NaN","421511843"
,,,,,"3820","2757","ROAD_SEGMENT","NaN","false","footway","4.024057768632024","NaN","421511843"
,,,,,"3821","1328","ROAD_SEGMENT","NaN","false","footway","10.390425070672874","NaN","350227481"
,,,,,"3821","1085","ROAD_SEGMENT","NaN","false","footway","72.66138708034958","NaN","350227481"
,,,,,"3821","3828","ROAD_SEGMENT","NaN","false","service","4.848105649456167","NaN","1338591256"
